id,part,file,fps
SL123551,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SL123551_part_2_neutral.mkv,30.3
SL123551,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SL123551_part_2_joy.mkv,30.3
SL123551,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SL123551_part_2_disgust.mkv,30.3
SL517359,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SL517359_part_2_neutral.mkv,30.3
SL517359,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SL517359_part_2_joy.mkv,30.3
SL517359,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SL517359_part_2_disgust.mkv,30.3
SL812218,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SL812218_part_2_neutral.mkv,30.3
SL812218,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SL812218_part_2_joy.mkv,30.3
SL812218,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SL812218_part_2_disgust.mkv,30.3
SM271483,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SM271483_part_2_neutral.mkv,30.3
SM271483,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SM271483_part_2_joy.mkv,30.3
SM271483,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SM271483_part_2_disgust.mkv,30.3
ST268519,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/ST268519_part_2_neutral.mkv,30.3
ST268519,joy,/data/sit_21_hu_video_mix_home/processed/hrv/ST268519_part_2_joy.mkv,30.3
ST268519,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/ST268519_part_2_disgust.mkv,30.3
SU346453,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SU346453_part_2_neutral.mkv,30.3
SU346453,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SU346453_part_2_joy.mkv,30.3
SU346453,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SU346453_part_2_disgust.mkv,30.3
SV158823,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SV158823_part_2_neutral.mkv,30.3
SV158823,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SV158823_part_2_joy.mkv,30.3
SV158823,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SV158823_part_2_disgust.mkv,30.3
SW137287,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/SW137287_part_2_neutral.mkv,30.3
SW137287,joy,/data/sit_21_hu_video_mix_home/processed/hrv/SW137287_part_2_joy.mkv,30.3
SW137287,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/SW137287_part_2_disgust.mkv,30.3
TD218281,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/TD218281_part_2_neutral.mkv,30.3
TD218281,joy,/data/sit_21_hu_video_mix_home/processed/hrv/TD218281_part_2_joy.mkv,30.3
TD218281,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/TD218281_part_2_disgust.mkv,30.3
TL954363,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/TL954363_part_2_neutral.mkv,30.0
TL954363,joy,/data/sit_21_hu_video_mix_home/processed/hrv/TL954363_part_2_joy.mkv,30.0
TL954363,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/TL954363_part_2_disgust.mkv,30.0
TN748325,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/TN748325_part_2_neutral.mkv,30.3
TN748325,joy,/data/sit_21_hu_video_mix_home/processed/hrv/TN748325_part_2_joy.mkv,30.3
TN748325,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/TN748325_part_2_disgust.mkv,30.3
TX114639,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/TX114639_part_2_neutral.mkv,30.3
TX114639,joy,/data/sit_21_hu_video_mix_home/processed/hrv/TX114639_part_2_joy.mkv,30.3
TX114639,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/TX114639_part_2_disgust.mkv,30.3
TZ662131,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/TZ662131_part_2_neutral.mkv,30.0
TZ662131,joy,/data/sit_21_hu_video_mix_home/processed/hrv/TZ662131_part_2_joy.mkv,30.0
TZ662131,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/TZ662131_part_2_disgust.mkv,30.0
UA333457,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UA333457_part_2_neutral.mkv,30.0
UA333457,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UA333457_part_2_joy.mkv,30.0
UA333457,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UA333457_part_2_disgust.mkv,30.0
UB581723 ,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UB581723 _part_2_neutral.mkv,30.3
UB581723 ,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UB581723 _part_2_joy.mkv,30.3
UB581723 ,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UB581723 _part_2_disgust.mkv,30.3
UB992628,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UB992628_part_2_neutral.mkv,30.3
UB992628,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UB992628_part_2_joy.mkv,30.3
UB992628,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UB992628_part_2_disgust.mkv,30.3
UD534715,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UD534715_part_2_neutral.mkv,30.0
UD534715,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UD534715_part_2_joy.mkv,30.0
UD534715,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UD534715_part_2_disgust.mkv,30.0
UE817176,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UE817176_part_2_neutral.mkv,30.3
UE817176,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UE817176_part_2_joy.mkv,30.3
UE817176,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UE817176_part_2_disgust.mkv,30.3
UF827463,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UF827463_part_2_neutral.mkv,30.3
UF827463,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UF827463_part_2_joy.mkv,30.3
UF827463,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UF827463_part_2_disgust.mkv,30.3
UG429428,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UG429428_part_2_neutral.mkv,29.995004995004997
UG429428,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UG429428_part_2_joy.mkv,29.3719806763285
UG429428,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UG429428_part_2_disgust.mkv,29.730547986678776
UG949443,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UG949443_part_2_neutral.mkv,30.3
UG949443,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UG949443_part_2_joy.mkv,30.3
UG949443,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UG949443_part_2_disgust.mkv,30.3
US366349,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/US366349_part_2_neutral.mkv,30.3
US366349,joy,/data/sit_21_hu_video_mix_home/processed/hrv/US366349_part_2_joy.mkv,30.3
US366349,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/US366349_part_2_disgust.mkv,30.3
UV368972,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UV368972_part_2_neutral.mkv,30.3
UV368972,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UV368972_part_2_joy.mkv,30.3
UV368972,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UV368972_part_2_disgust.mkv,30.3
UV663516,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UV663516_part_2_neutral.mkv,30.3
UV663516,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UV663516_part_2_joy.mkv,30.3
UV663516,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UV663516_part_2_disgust.mkv,30.3
UW015672,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UW015672_part_2_neutral.mkv,29.110444777611193
UW015672,joy,/data/sit_21_hu_video_mix_home/processed/hrv/UW015672_part_2_joy.mkv,26.11218568665377
UW015672,disgust,/data/sit_21_hu_video_mix_home/processed/hrv/UW015672_part_2_disgust.mkv,27.9491833030853
UX169241,neutral,/data/sit_21_hu_video_mix_home/processed/hrv/UX169241_part_2_neutral.mkv,30.3
